"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty","Required","Do not place"
"10MQ060N","DIODE_SMA","","Vishay","10MQ060N","Digikey","10MQ060NPBF","D2 D3 D1 D4 D5","5","REQUIRED",""
"C 100nF","C0603","","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","C11 C9 C10 C16 C14 C15 C6 C4 C5 C24 C20 C21 C30 C28 C29","15","REQUIRED",""
"","C0603","","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","C33 C32","2","OPTIONAL",""
"CAP2220","SM","","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","C7 C8 C12 C13 C17 C18 C1 C2 C3 C19 C22 C23 C25 C26 C27","15","REQUIRED",""
"EEEFK1H101GP","CAP_EEFK_F","","Panasonic","EEEFK1H101GP","digikey","PCE4323CT-ND","C31","1","OPTIONAL",""
"FUSE HOLDER OGN SM","SM","","Schurter","0031.8225","Digikey","486-1723-1-ND","FS1","1","REQUIRED",""
"HDR2PINSM","SM","","sullins connector","NPPC021KFXC-RC","digikey","S5633-ND","J2 J3 J1 J4 J5","5","REQUIRED",""
"HDR8POSSM","SM","","","","","","J6","1","NOT PLACED","DO NOT PLACE"
"HDR8POSSM","UNSHR","","","","","","J10","1","NOT PLACED","DO NOT PLACE"
"HDR8POSSM","SM","","","","","","J8 J7 J9","3","NOT PLACED","DO NOT PLACE"
"L","SM","2.2 uH","taiyo yuden","BRC2012T2R2MD","digikey","587-2905-1-ND","L6","1","OPTIONAL",""
"L - NRS8040","SOL","10 uH","Taiyo Yuden","NRS8040T100MJGJV","Digikey","587-3654-1-ND","L2 L3 L1 L4 L5","5","REQUIRED",""
"LMV934MA","M14A","","TI","LMV934MA","Digikey","LMV934MAX/NOPB - Texas Instruments	LMV934MAX/NOPBCT-ND","U7","1","OPTIONAL",""
"LT3518EFE_PBF","SSO","","Linear","LT3518EFE#PBF","Digikey","LT3518EFE#PBF-ND","U2 U3 U1 U4 U5","5","REQUIRED",""
"LUXEON_REBEL+COOLPAD","LUXEON_REBEL+COOLPAD","","Philips Lumileds","LXM3-PD01","","","LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48 LED49 LED50 LED51 LED52 LED53 LED54 LED55 LED56 LED57 LED58 LED59 LED60 LED61 LED62 LED63 LED64 LED65 LED66","66","REQUIRED",""
"","LUXEON_REBEL+COOLPAD","","Philips Lumileds","LXML-PR01","","","LED67 LED68 LED69 LED70 LED71 LED72 LED73 LED74 LED75 LED76 LED77 LED78","12","REQUIRED",""
"MAX6120EUR+T","21-0051H","","Maxim","MAX6120EUR-T","Digikey","MAX6120EUR+TCT-ND","U8","1","OPTIONAL",""
"MC7805ACD2T","SMS4","","On semi","MC7805ACD2TR4G","Digikey","MC7805ACD2TR4GOSCT-ND","U6","1","OPTIONAL",""
"MH","NBR4","","","","","","MH5 MH16 MH2 MH19 MH9 MH13 MH6 MH17 MH8 MH12 MH4 MH15 MH10 MH14 MH3 MH20 MH7 MH11 MH1 MH18","20","NOT PLACED","DO NOT PLACE"
"MPMT2003AT0","SOT","","Vishay","MPMT2003AT0","digikey","MPMT-100K/100KCT-ND","R32","1","OPTIONAL",""
"PMOS","SM","","diodes inc","ZXMP6A13GTA","digikey","ZXMP6A13GCT-ND","Q2 Q3 Q1 Q4 Q5","5","REQUIRED",""
"R 0.1W SMTF 0","SM0805","","","","","","R10 R16 R2 R21 R26","5","NOT PLACED","DO NOT PLACE"
"R 0.1W SMTF 1M","SM0805","10k","vishay","NTCS0805E3103JHT","digikey","BC2561CT-ND","THERM1 THERM2 THERM3 THERM4","4","OPTIONAL",""
"R 0.1W SMTF 220","SM0805","","samsung","RC2012J221CS","digikey","1276-5515-1-ND","R7 R13 R1 R19 R25","5","REQUIRED",""
"R 0.063W SMTF 1.0K","SM0603","","yageo","RC0603FR-071KL","digikey","311-1.00KHRCT-ND","R9 R15 R4 R24 R28","5","REQUIRED",""
"R 0.063W SMTF 1M","SM0603","","Yageo","RC0603FR-071ML","digikey","311-1.00MHRCT-ND","R11 R17 R5 R22 R29","5","REQUIRED",""
"R 0.063W SMTF 9K","SM0603","8870","samsung","RC1608F8871CS","digikey","1276-4739-1-ND","R8 R14 R3 R20 R27","5","REQUIRED",""
"R 0.063W SMTF 22K","SM0603","","yageo","RC0603FR-0723K7L","digikey","311-23.7KHRCT-ND","R12 R18 R6 R23 R30","5","REQUIRED",""
"R 0.063W SMTF 100K","SM0603","","","","","","R31","1","NOT PLACED","DO NOT PLACE"
"TESTPOINT KEYSTONE 5016","SM","","Keystone","5016","Digikey","5016KCT-ND","TP10 TP12 TP13 TP11 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP14 TP1","14","OPTIONAL",""
"TSM4YJ 100K 10%","POT_TSM4YJ","","Bourne","3214X-1-104E","digikey","3214X-1-104E","R35 R36 R37 R38 R33 R34","6","OPTIONAL",""
"","","","","","","","","222","",""
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
